id,name
2066,Sergej Milinković-Savić
2068,Lucas Leiva
2069,Adam Marušić
2071,Luiz Felipe
2076,Ciro Immobile
2077,Luis Alberto
2082,Pepe Reina
2088,Elseid Hysaj
2158,Mattia Zaccagni
2180,Francesco Acerbi
2329,Danilo Cataldi
2331,Cristiano Lombardi
2358,Manuel Lazzari
2610,Marius Adamonis
2627,Jean-Daniel Akpa Akpro
7818,Pedro
15522,Denis Vavro
23703,Toma Bašić
30059,Vedat Muriqi
32230,Jony
33344,Gonzalo Escalante
64319,Patryk Dziczek
81941,Anderson Lima
120446,Dimitrije Kamenović
128039,Bobby Adekanye
144668,Luka Romero
146128,Raúl Moro
22,Fabián Ruiz
1854,Andrea Petagna
2084,Faouzi Ghoulam
2086,Kalidou Koulibaly
2090,Mário Rui
2092,Lorenzo Insigne
2097,Piotr Zieliński
2100,Adam Ounas
2103,Dries Mertens
2193,Matteo Politano
2344,Alex Meret
2487,Giovanni Di Lorenzo
2996,Alessandro Zanoli
3306,Hirving Lozano
3722,David Ospina
8354,André Zambo Anguissa
8398,Kevin Malcuit
9434,Victor Osimhen
9544,Diego Demme
23127,Amir Rrahmani
30629,Eljif Elmas
33628,Stanislav Lobotka
170387,Konstantinos Manolas
161310,Juan Jesus
1947,Fabio Depaoli
2005,Antonio Candreva
2149,Alex Ferrari
2249,Bartosz Bereszyński
2251,Nicola Murru
2266,Valerio Verre
2268,Fabio Quagliarella
2506,Francesco Caputo
2571,Ernesto Torregrossa
2645,Nicola Ravaglia
2831,Tommaso Augello
3087,Emil Audero
3252,Adrien Silva
4149,Ronaldo Vieira
6527,Albin Ekdal
7421,Morten Thorsby
7748,Julian Chabot
8082,Maya Yoshida
8101,Manolo Gabbiadini
8965,Omar Colley
24238,Mikkel Damsgaard
56649,Wladimiro Falcone
102339,Mohammed Ihattaren
118120,Kristoffer Askildsen
140432,Radu Drăgușin
156618,Riccardo Ciervo
170385,Antonino La Gumina
14,Antonio Sanabria
1106,Bremer
1745,Ricardo Rodriguez
1828,Etrit Berisha
1880,Simone Verdi
1962,Armando Izzo
2230,Rolando Mandragora
2258,Karol Linetty
2259,Dennis Praet
2275,Vanja Milinković-Savić
2280,Alessandro Buongiorno
2284,Cristian Ansaldi
2290,Daniele Baselli
2295,Tomás Rincón
2296,Ben Lhassine Kone
2298,Andrea Belotti
2301,Simone Edera
3386,Ola Aina
3558,Marko Pjaca
8689,Koffi Djidji
9204,Mërgim Vojvoda
9436,Josip Brekalo
24124,Magnus Warming
32938,Saša Lukić
33152,Simone Zaza
99013,Tommaso Pobega
101392,Luca Gemello
113375,Wilfried Singo
127813,David Zima
141480,Razvan Sava
63,Clément Lenglet
3173,Marc-André ter Stegen
3190,Piqué
3193,Jordi Alba
3221,Neto
3228,Philippe Coutinho
3361,Samuel Umtiti
3373,Ousmane Dembélé
3467,Martin Braithwaite
3623,Moussa Wagué
7452,Luuk de Jong
7559,Frenkie de Jong
7891,Sergio Agüero
8472,Memphis Depay
10179,Busquets
